run,category,tag,step,wall_time_utc,value
phase1_songs01,dataset_metadata,dataset/avg_window_activity,0,2026-09-08T08:37:58.426650Z,0.5283715725
phase1_songs01,dataset_metadata,dataset/blocked_ranges,0,2026-09-08T08:37:58.426640Z,2
phase1_songs01,dataset_metadata,dataset/holdout_blocked_fraction,0,2026-09-08T08:37:58.426628Z,0.1491221637
phase1_songs01,dataset_metadata,dataset/holdout_blocked_starts,0,2026-09-08T08:37:58.426621Z,4094
phase1_songs01,dataset_metadata,dataset/max_window_weight,0,2026-09-08T08:37:58.426818Z,6.528597442e-05
phase1_songs01,dataset_metadata,dataset/min_window_weight,0,2026-09-08T08:37:58.426735Z,1.070625876e-05
phase1_songs01,dataset_metadata,dataset/num_songs,0,2026-09-08T08:37:58.426551Z,1
phase1_songs01,dataset_metadata,dataset/pre_holdout_valid_starts,0,2026-09-08T08:37:58.426608Z,27454
phase1_songs01,dataset_metadata,dataset/regime_active_prob,0,2026-09-08T08:37:58.426893Z,0.349999994
phase1_songs01,dataset_metadata,dataset/regime_low_prob,0,2026-09-08T08:37:58.426942Z,0.200000003
phase1_songs01,dataset_metadata,dataset/regime_transition_prob,0,2026-09-08T08:37:58.426899Z,0.3000000119
phase1_songs01,dataset_metadata,dataset/regime_uniform_prob,0,2026-09-08T08:37:58.426979Z,0.150000006
phase1_songs01,dataset_metadata,dataset/rejected_dead,0,2026-09-08T08:37:58.426634Z,0
phase1_songs01,dataset_metadata,dataset/starts_after_filter,0,2026-09-08T08:37:58.426615Z,23360
phase1_songs01,dataset_metadata,dataset/total_frames,0,2026-09-08T08:37:58.426580Z,30017
phase1_songs01,dataset_metadata,dataset/total_minutes,0,2026-09-08T08:37:58.426589Z,6.670319557
phase1_songs01,dataset_metadata,dataset/total_valid_starts,0,2026-09-08T08:37:58.426601Z,23360
phase1_songs01,model_metadata,model/params_M,0,2026-09-08T08:37:58.502354Z,11.84076786
phase1_songs01,model_metadata,model/use_encoder_decoder,0,2026-09-08T08:37:58.502384Z,1
phase1_songs01,training_aggregate,train/avg_acc_top1,1000,2026-09-08T08:38:55.470772Z,0.004184620921
phase1_songs01,training_aggregate,train/avg_acc_top1,2000,2026-09-08T08:39:51.101626Z,0.01193545852
phase1_songs01,training_aggregate,train/avg_acc_top1,3000,2026-09-08T08:40:49.085402Z,0.01901519857
phase1_songs01,training_aggregate,train/avg_acc_top1,4000,2026-09-08T08:41:45.113363Z,0.02565082721
phase1_songs01,training_aggregate,train/avg_acc_top1,5000,2026-09-08T08:42:41.193381Z,0.03339107707
phase1_songs01,training_aggregate,train/avg_acc_top1,6000,2026-09-08T08:43:38.582761Z,0.03894362226
phase1_songs01,training_aggregate,train/avg_acc_top1,7000,2026-09-08T08:44:37.614146Z,0.04500578716
